Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
51,Jeu Wander: Helping Hands en ligne. Jouer gratuits,https://game-game.fr/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,10,149,false,false,false,false,true,false,false,false,2024-06-27,2025-11-10,false,false
51,Gioco Wander: Helping Hands,https://game-game.it/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,10,150,false,false,false,false,true,false,false,false,2024-07-03,2025-11-03,false,false
51,ゲームなんだかんだワンダー：支援の手オンライン。プレーは無料,https://game-game.jp/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,10,150,false,false,false,false,true,false,false,false,2024-06-29,2025-10-30,false,false
51,Joc Wander Peste Yonder: Mâinile Helping online. Joacă gratis,https://game-game.ro/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,10,150,false,false,false,false,true,false,false,false,2024-07-09,2025-10-23,false,false
51,Oyunu Yurda dolaşın: Ellere Yardım Edin Online. Bedava Oyna,https://game-game.web.tr/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,10,150,false,false,false,false,true,false,false,false,2024-07-07,2025-11-03,false,false
51,"Игра Вондер Тут и Там: Руки Помощи онлайн - играть бесплатно, без регистрации",https://www.game-game.com.ua/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,10,146,false,false,false,false,true,false,false,false,2024-07-12,2025-10-28,false,false
46,Juego Pasee allá en línea. Juega gratis,https://cu.game-game.com/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,7,153,false,false,false,false,true,false,false,false,2024-07-20,2025-10-29,false,false
41,Play Alice in tetrisland game - Gamesflow.com,https://www.gamesflow.com/jeux.php?id=10017730,https://6games.eu/game_files/aliceintetrisland/index.html,,8,148,false,false,false,false,true,false,false,false,2024-07-15,2025-11-01,false,false
36,Jouer à Alice in tetrisland - Jeuxclic.com,https://www.jeuxclic.com/jeux.php?id=10017730,https://6games.eu/game_files/aliceintetrisland/index.html,,10,149,false,false,false,false,true,false,false,false,2024-07-20,2025-10-18,false,false
30,yayoye Alternatives - 67 Best Sites Like yayoye.com in 2025,https://www.sitelike.org/similar/yayoye.com/,https://www.6games.eu/,6games.eu,31,260,true,false,false,false,false,false,true,false,2025-04-23,2025-10-08,false,false
28,"Totally Spies! Totally Party - Simple English Wikipedia, the free encyclopedia",https://simple.wikipedia.org/wiki/Totally_Spies!_Totally_Party,http://6games.eu/games/10408-totally-spies-secret-files.html,http://6games.eu/games/10408-totally-spies-secret-files.html,17,103,true,false,false,true,false,false,false,false,2024-12-10,2025-09-28,false,false
24,Fuudo - de búsqueda,https://ar.search.yahoo.com/mobile/s?ei=UTF-8&fr2=p%3As%2Cv%3Aw%2Cm%3Akg-pasf%2Cct%3A&p=Fuudo,https://6games.eu/games/7318-swapster.html,6games.eu › games › 7318-swapster Swapster - Games online 6games.eu,14,39,false,false,false,true,false,false,false,false,2025-10-13,2025-10-13,true,false
21,boxed+io - Bing,http://rewards.bing.com/search?FORM=QSRE11&q=boxed%2Bio,https://6games.eu/games/14253-boxedio.html,6games.eu https://6games.eu › games,27,23,false,false,false,true,false,false,false,false,2025-10-02,2025-10-02,false,false
16,,https://mysp.ac/57xX3,https://6games.eu/files/imagelarge/large-12656-catch-a-crab-2.jpg,,0,0,false,false,false,true,false,false,false,false,2024-08-09,2025-11-03,false,false
15,Nostalgic Games,https://some-damn-place.neocities.org/Nostalgic-games,https://6games.eu/games/3818-monkey-go-happy-5.html,,21,1,false,false,false,false,false,false,true,false,2024-12-20,2025-11-03,false,false
15,Dwarf Complete - Forums - Game Sites - Speedrun.com,https://www.speedrun.com/dwarf_complete_pc/forums/jt2q0,http://6games.eu/games/3901-dwarf-complete.html,http://6games.eu/games/3901-dwarf-complete.html,7,37,false,false,false,true,false,false,false,false,2025-01-03,2025-07-22,false,false
14,Thaysen Porterfield (planemuseum0) on Myspace,https://myspace.com/planemuseum0,https://6games.eu/files/imagelarge/large-12656-catch-a-crab-2.jpg,6games.eu/files/imagelarge/large-12656-catch-a-crab-2.jpg,4,39,false,false,false,true,false,false,false,false,2022-10-20,2025-08-15,false,false
14,Teen Titans Go Jump Jousts - Jogar de graça,https://www.bubbleshooter.net/pt/jogos/teen-titans-go-jump-jousts/,https://6games.eu/game_files/teentitansgojumpjousts/index.html?gd_sdk_referrer_url=https%3A%2F%2Fwww.bubbleshooter.net%2Fpt%2Fjogos%2Fteen-titans-go-jump-jousts%2F,,1,98,false,false,false,true,false,false,false,false,2024-04-14,2025-11-01,false,false
13,TG @LINKS_DEALER | BLACK HAT SEO SERVICES | MASS LINKS | HTTPS://T.ME/LINKS_DEALER – ECAD 2024,https://ecad.pucv.cl/2025/08/18/tg-links-dealer-black-hat-seo-services-mass-links-30-2/,https://6games.eu/games/380-the-shell-game.html,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR 6GAMES.EU,5804,23,true,false,false,true,false,false,false,false,2025-09-02,2025-10-19,false,false
13,Dash For The Crown - My Little Pony Games,https://gamesmylittlepony.com/play/Dash-For-The-Crown.html,https://6games.eu/game_files/equestriagirlsdashforthecrown/index.html,,3,77,false,false,false,false,true,false,false,false,2023-01-25,2025-10-22,false,false
13,"@SEO_CARTEL IN TELEGRAM – SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING – HTTPS://T.ME/SEO_CARTEL – INTERSPECIES",https://interspecies-school.unipv.it/2025/08/11/seo-cartel-in-telegram-seo-backlinks-bulk-link-39/,https://6games.eu/games/aladdin.html,"@SEO_CARTEL IN TELEGRAM – SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING",6004,44,true,false,false,true,false,false,false,false,2025-08-17,2025-11-08,false,false
13,ニュースフラッシュ Archives - ページ 49 / 100 - 九州・山口の飲食店、レストランの新しい潮流を発信するビジネスサイト「フードスタジアム九州」,https://kyushu.food-stadium.com/news-flash/page/49/,https://6games.eu/games/1173-gold-strike.html,"SEO BACKLINKS, CROSS-LINKS, TRAFFIC BOOST, LINK INDEXING – TELEGRAM @SEO_ANOMALY",11200,116,true,false,false,true,false,false,false,false,2025-05-04,2025-05-04,false,false
13,Dollhouse decoration online games,https://www.iedp.universite-paris-saclay.fr/?i=73005615,https://6games.eu/files/image/13491-winx-doll-house.jpg,Dollhouse decoration online games,1,107,false,false,false,false,false,false,true,false,2025-07-04,2025-11-05,false,false
13,Jogo My New Puppy no Jogos 360,https://www.jogos360.com.br/my_new_puppy.html,https://6games.eu/game_files/dogwithablogmynewpuppy/index.html,,12,53,false,false,false,false,true,false,false,false,2024-06-08,2025-10-22,false,false
12,Search - KHInsider Video Game Music,https://downloads.khinsider.com/search?albumListSize=compact&search=a,https://6games.eu/games/10740-tom-and-jerry-downhill.html,link,791,3897,false,false,false,true,false,false,false,false,2025-08-11,2025-10-21,false,false
12,"TELEGRAM @SEO_ANOMALY - SEO BACKLINKS, BLACK-LINKS, TRAFFIC BOOST, LINK INDEXING - seo-anomaly-apex.online",https://seo-anomaly-apex.online/italy/seo-anomaly-it-4/,https://6games.eu/games/11076-back-to-candyland-5-choco-mountain.html,"TELEGRAM @SEO_ANOMALY - SEO BACKLINKS, BLACK-LINKS, TRAFFIC BOOST, LINK INDEXING",4003,873,true,false,false,true,false,false,false,false,2025-05-04,2025-11-04,false,false
12,"TELEGRAM @SEO_ANOMALY - SEO BACKLINKS, BLACK-LINKS, TRAFFIC BOOST, LINK INDEXING - seo-anomaly-forge.online",https://seo-anomaly-forge.online/italy/seo-anomaly-it-2/,https://6games.eu/games/10840-scarab-solitaire.html,"TELEGRAM @SEO_ANOMALY - SEO BACKLINKS, BLACK-LINKS, TRAFFIC BOOST, LINK INDEXING",4003,873,true,false,false,true,false,false,false,false,2025-05-04,2025-11-09,false,false
12,"TELEGRAM t.me/seo_anomaly : SEO BACKLINKS, CROSS-LINKS, TRAFFIC BOOST, LINK INDEXING – سومین همایش ملی فضای مجازی",https://sswg.ec.iau.ir/telegram-t-me-seo-anomaly-seo-backlinks-cross-2-6/,https://6games.eu/games/1173-gold-strike.html,"SEO BACKLINKS, CROSS-LINKS, TRAFFIC BOOST, LINK INDEXING – TELEGRAM @SEO_ANOMALY",2006,13,true,false,false,true,false,false,false,false,2025-02-12,2025-07-27,false,false
11,"@SEO_CARTEL IN TELEGRAM – SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING – HTTPS://T.ME/SEO_CARTEL – Comissão de Ética do IFRN",http://comissaodeetica.ifrn.edu.br/index.php/2025/08/01/seo-cartel-in-telegram-seo-backlinks-bulk-link-77/,https://6games.eu/games/380-the-shell-game.html,"@SEO_CARTEL IN TELEGRAM – SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING",3505,91,true,false,false,true,false,false,false,false,2025-08-19,2025-10-28,false,false
10,Scooby doo games online sale,https://agenda.fbb.pt/?a=183989615,https://6games.eu/files/image/752-scooby-doo-episode-2.1-river-rapids-rampage.jpg,Scooby doo games online sale,10,213,false,false,false,false,false,false,true,false,2025-05-21,2025-05-21,false,false
10,"@SEO_CARTEL IN TELEGRAM - SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING - HTTPS://T.ME/SEO_CARTEL - O Prelo",https://oprelo.ioerj.com.br/2025/07/21/seo-cartel-in-telegram-seo-backlinks-bulk-link-3/,https://6games.eu/games/380-the-shell-game.html,"@SEO_CARTEL IN TELEGRAM – SEO BACKLINKS, BULK LINK POSTING, BOOST SEO RANKING",3501,1042,true,false,false,true,false,false,false,false,2025-07-25,2025-10-26,false,false
10,The Unsolved Mystery of the Perfect Cell Remix • Kanzenshuu,https://www.kanzenshuu.com/forum/viewtopic.php?t=48432,https://6games.eu/games/441-dragon-ba,https://6games.eu/games/441-dragon-ba,11,36,false,false,false,true,false,false,false,false,2025-01-14,2025-10-26,false,false
10,"Friday, May 24",https://www.sausd.us/site/default.aspx?Comments=true&FlexDataID=127263&ModuleInstanceID=47476&PageID=37598&PageType=3&RenderLoc=0&Tag,https://6games.eu/games/7203-gears-and-chains-2.html,Gears & Chain g,13,205,false,false,false,true,false,false,false,false,2025-01-25,2025-09-26,false,false
9,TG @LINKS_DEALER | BLACK HAT SEO SERVICES | MASS LINKS | HTTPS://T.ME/LINKS_DEALER – Girne Turizm Meslek Lisesi,http://gtml.mebnet.net/index.php/2025/08/18/tg-links-dealer-black-hat-seo-services-mass-links-30/,https://6games.eu/games/380-the-shell-game.html,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR 6GAMES.EU,5804,38,true,false,false,true,false,false,false,false,2025-08-25,2025-10-29,false,false
9,Speel Wander Over Yonder: Helpende Handen op Game-Game 🕹️,https://game-game.com.nl/152979/,https://6games.eu/game_files/wanderoveryanderhelpinghands/index.html,,11,148,false,false,false,false,true,false,false,false,2024-07-03,2025-11-05,false,false
