Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
72,Word Search,https://word-search.io/,https://azgames.io/game/word-search/,,2,13,false,false,false,false,true,false,false,false,2025-10-20,2025-10-20,true,false
69,Crossy Road,https://crossy-road.io/,https://azgames.io/game/crossy-road/,,1,51,false,false,false,false,true,false,false,false,2025-04-28,2025-08-27,false,false
65,Crossy Road - Crossy Road,https://crossyroad-online.github.io/,https://azgames.io/game/crossy-road/,,1,16,false,false,false,false,true,false,false,false,2025-07-12,2025-10-25,false,false
63,Escape Road Unblocked - Free Online Police Chase Racing Game,https://escaperoadunblocked.co/,https://azgames.io/game/escape-road/,,1,27,false,false,false,false,true,false,false,false,2025-05-09,2025-11-10,false,false
59,"Escape Road: An unblocked exhilarating driving escape game, free to play online.",https://escape-road.org/,https://azgames.io/game/escape-road/,,1,19,false,false,false,false,true,false,false,false,2025-05-03,2025-10-31,false,false
58,Head Soccer Unblocked - Unblocked Games,https://theheadsoccerunblocked.com/,https://azgames.io/head-soccer-2024.embed,,1,50,false,false,false,false,true,false,false,false,2025-01-24,2025-10-30,false,false
53,"The Dles - Discover 500+ Free Daily Games | Wordle, Connections & More",https://dles.aukspot.com/,https://azgames.io/game/daily-fill-ins,Daily Fill-Ins,526,51,false,false,false,true,false,false,false,false,2025-03-10,2025-11-07,false,false
51,Escape Road | Play Online!,https://escape-road.fun/,https://azgames.io/game/escape-road/,,1,8,false,false,false,false,true,false,false,false,2025-05-13,2025-11-07,false,false
51,Jeu Route d'évasion hivernale en ligne. Jouer gratuits,https://game-game.fr/261505/,https://azgames.io/game/escape-road-winter/,,10,143,false,false,false,false,true,false,false,false,2025-04-06,2025-10-26,false,false
51,Gioco Strada di fuga invernale,https://game-game.it/261505/,https://azgames.io/game/escape-road-winter/,,10,143,false,false,false,false,true,false,false,false,2025-04-07,2025-10-27,false,false
51,ゲームエスケープ ロード 冬 オンライン。プレーは無料,https://game-game.jp/261505/,https://azgames.io/game/escape-road-winter/,,10,142,false,false,false,false,true,false,false,false,2025-04-08,2025-11-01,false,false
51,Joc Escape Road Iarna online. Joacă gratis,https://game-game.ro/261505/,https://azgames.io/game/escape-road-winter/,,10,144,false,false,false,false,true,false,false,false,2025-04-06,2025-10-26,false,false
51,Oyunu Kaçış Yolu Kış Online. Bedava Oyna,https://game-game.web.tr/261505/,https://azgames.io/game/escape-road-winter/,,10,143,false,false,false,false,true,false,false,false,2025-04-05,2025-10-26,false,false
51,"Игра Побег по зимней дороге онлайн - играть бесплатно, без регистрации",https://www.game-game.com.ua/261505/,https://azgames.io/game/escape-road-winter/,,10,140,false,false,false,false,true,false,false,false,2025-04-08,2025-10-27,false,false
50,Escape Road - Escape Road,https://escaperoadio.github.io/,https://azgames.io/game/escape-road/,,1,13,false,false,false,false,true,false,false,false,2025-10-21,2025-10-24,true,false
50,Waffle Wordle - Waffle Wordle,https://wafflewordle.github.io/,https://azgames.io/game/wafflegame_v3/,,1,14,false,false,false,false,true,false,false,false,2025-05-04,2025-10-28,false,false
49,Drift Boss Halloween,https://driftboss.io/drift-boss-halloween,https://azgames.io/drift-road.embed,,1,100,false,false,false,false,true,false,false,false,2024-12-22,2025-10-24,false,false
49,Quordle - Solve Four 5-Letter Words in One Fun Puzzle Game!,https://iquordle.com/,https://azgames.io/game/quordlegame/,,3,8,false,false,false,false,true,false,false,false,2025-06-12,2025-11-07,false,false
49,"Italian Brainrot Clicker 2 - Free Online Game | Play Now, No Download Required",https://italian-brainrot-clicker-2.com/,https://azgames.io/italian-brainrot-clicker-2.embed,,1,16,false,false,false,false,true,false,false,false,2025-05-22,2025-11-06,false,false
48,Snow Rider 3D - Snow Rider 3D,https://snowrider-3dgame.github.io/,https://azgames.io/snow-rider-3d.embed,,1,15,false,false,false,false,true,false,false,false,2025-09-27,2025-10-12,false,false
46,Juego Toque la carretera en línea. Juega gratis,https://cu.game-game.com/260512/,https://azgames.io/game/tap-road/,,7,145,false,false,false,false,true,false,false,false,2024-12-13,2025-10-25,false,false
46,Play Free Online Racing Games On KrazyRacing | Play Now!,https://krazyracing.com/,https://azgames.io/tap-road.embed,,53,32,false,false,false,false,true,false,false,false,2025-01-20,2025-10-22,false,false
46,Slope Unblocked - Slope Unblocked,https://slopeunblocked76.bitbucket.io/,https://azgames.io/slope.embed,,1,15,false,false,false,false,true,false,false,false,2025-09-21,2025-11-03,false,false
45,Chill Guy Clicker - Relaxing Idle Game | Build Your Chill Empire,https://chill-guy-clicker.net/,https://azgames.io/game/chill-guy-clicker/,,8,18,false,false,false,false,true,false,false,false,2025-03-29,2025-10-22,false,false
45,Tap Road Game,https://taproadonline.github.io/,https://azgames.io/tap-road.embed/,,1,13,false,false,false,false,true,false,false,false,2025-08-21,2025-10-12,false,false
42,Snow Rider 3D - Snow Rider 3D,https://snowrider3dfree.github.io/,https://azgames.io/snow-rider-3d.embed,,1,14,false,false,false,false,true,false,false,false,2025-08-29,2025-09-04,false,false
35,Escape Road - Police Chase & Racing Game | Play Free Online,https://escaperoad.games/,https://azgames.io/escape-road.embed,,3,24,false,false,false,false,true,false,false,false,2025-04-24,2025-11-01,false,false
34,Golf Hit: The Ultimate Golf Simulator Game,https://golfhit.me/,https://azgames.io/golf-hit.embed,,1,24,false,false,false,false,true,false,false,false,2025-06-12,2025-11-08,false,false
34,Az Games - itch.io,https://onlyazgamesio.itch.io/,https://azgames.io/,https://azgames.io,2,2,true,false,false,true,false,false,false,false,2025-08-30,2025-11-04,false,false
32,Chill Guy Clicker - Free Online Game,https://chillguyclicker.xyz/,https://azgames.io/game/chill-guy-clicker/,,1,8,false,false,false,false,true,false,false,false,2025-03-28,2025-11-07,false,false
32,Waffle Word Game,https://wafflewordgame.com/,https://azgames.io/game/waffleunlimited/,,5,31,false,false,false,false,true,false,false,false,2025-05-06,2025-10-24,false,false
