Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
21,cyta greece - Bing,http://rewards.bing.com/search?FORM=R5FD2&q=cyta%20greece,https://burrito-craft.com/,burrito-craft.com https:// burrito - craft .com,27,22,false,false,false,true,false,false,false,false,2025-08-02,2025-08-02,false,false
21,超越生死：李連杰尋找李連杰 by Jet Li | Goodreads,https://www.goodreads.com/book/show/199707213,https://burrito-craft.com/,burrito craft,7,55,true,false,false,true,false,false,false,false,2024-11-12,2025-10-27,false,false
20,Sangfor Community,https://ec2-13-228-166-178.ap-southeast-1.compute.amazonaws.com/forum.php?mod=viewthread&tid=9891,https://burrito-craft.com/,burrito craft,6,34,false,false,false,true,false,false,false,false,2024-10-02,2025-10-22,false,false
17,How to Cook With Salad Dressing for All Your Summer Dinners,https://classic.food52.com/blog/28158-so-many-ways-to-use-salad-dressing,https://burrito-craft.com/,burrito craft,9,46,false,false,false,true,false,false,false,false,2025-07-24,2025-08-10,false,false
17,5 Tax Vlogs You'll Love When Filing This Year | Beyond Bylines,https://mediablogstage.prnewswire.com/2022/01/31/5-tax-vlogs/,https://burrito-craft.com/,burrito craft,91,154,true,false,true,true,false,false,false,false,2024-02-03,2025-11-09,false,false
16,Forum DACIA Dacia Duster: Places arrières - MATMUT 5127332,https://forum-auto.matmut.fr/forum/DACIA/DACIA-DUSTER/PLACES-ARRIERES/5127332/188999,https://burrito-craft.com/,burrito craft,9,89,false,false,true,true,false,false,false,false,2025-05-20,2025-10-01,false,false
15,More about the changes to the Orders War | Throne Forum,https://forum.plarium.com/en/throne-kingdom-at-war/667_game-database/613445_more-about-the-changes-to-the-orders-war/,https://burrito-craft.com/,burrito craft,13,58,true,false,true,true,false,false,false,false,2024-08-07,2025-11-01,false,false
14,HSI-CR4: Additional Listing of Shares | I3investor,https://boston2.i3investor.com/web/stock/additional-listing/0651R4,https://burrito-craft.com/,https://burrito-craft.com,6,159,false,false,false,true,false,false,false,false,2025-01-20,2025-09-23,false,false
14,visualizza commenti — INS Specifiche dei servizi di integrazione e cooperazione applicativa Area Sistema Trasfusionale 1.0 | E D O T T O,https://edottosgd.sanita.puglia.it/knowledgetree/action.php?action=viewThread&fDocumentId=16186&fThreadId=757&kt_path_info=ktcore.actions.document.discussion,https://burrito-craft.com/,burrito craft,225,43,false,false,false,true,false,false,false,false,2024-12-08,2025-05-21,false,false
14,Error converting pdf | MuseScore,https://musescore.org/en/node/357865,https://burrito-craft.com/,burrito craft,24,81,false,false,false,true,false,false,false,false,2024-12-24,2025-10-09,false,false
14,"Bruised by stock market, Chinese rush into banned bitcoin - Profit by Pakistan Today",https://profit.pakistantoday.com.pk/2024/01/25/bruised-by-stock-market-chinese-rush-into-banned-bitcoin/,https://burrito-craft.com/,burrito craft,7,74,true,false,true,true,false,false,false,false,2024-07-02,2025-10-30,false,false
