Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
77,,https://geometry-dash.io/,https://geometrygame.io/,,0,0,false,false,false,true,false,false,false,false,2025-04-03,2025-11-09,false,false
61,Top Global Websites Directory,https://naiad.pages.dev/08/afzQfnOUbn,https://geometrygame.io/,geometry-dash.io,10003,1,true,false,false,true,false,false,false,false,2025-05-05,2025-11-04,false,false
55,20 Hilariously Awkward Tattoos That Taught Valuable Ink Lessons | DeMilked,https://www.demilked.com/funny-terrible-tattoo-fails/,https://geometrygame.io/,https://geometrygame.io/,28,122,true,false,true,true,false,false,false,false,2025-04-18,2025-10-28,false,false
50,Top 5 Sites To Play Geometry Dash Online — PuggaardWilkinson2,https://zenwriting.net/puggaardwilkinson2/top-5-sites-to-play-geometry-dash-online,https://geometrygame.io/,geometry dash,1,1,true,false,false,true,false,false,false,false,2025-04-16,2025-08-14,false,false
46,Can the Sudan Armed Forces save themselves from themselves? - Africa at LSE,https://blogs.lse.ac.uk/africaatlse/2024/01/25/can-the-sudan-armed-forces-save-themselves-from-themselves/,https://geometrygame.io/,geometry dash,22,32,true,false,true,true,false,false,false,false,2025-10-25,2025-10-25,true,false
46,Review: Pikmin 4 - My Nintendo News,https://mynintendonews.com/2023/08/06/review-pikmin-4/,https://geometrygame.io/,geometry dash,10,53,true,false,true,true,false,false,false,false,2024-06-14,2025-07-24,false,false
44,Blog | ACM Interactions,https://interactions.acm.org/blog/view/hci-and-interaction-design-versus-covid,https://geometrygame.io/,geometry dash,1153,1159,false,false,false,true,false,false,false,false,2025-05-17,2025-11-09,false,false
44,Which Is The Best Site To Play Geometry Dash Online? — FitzsimmonsEliasen0,https://squareblogs.net/fitzsimmonseliasen0/which-is-the-best-site-to-play-geometry-dash-online,https://geometrygame.io/,geometry dash,1,1,true,false,false,true,false,false,false,false,2025-09-12,2025-09-12,false,false
44,gadegaardhjort10 - Music - HulkShare,https://www.hulkshare.com/gadegaardhjort10,https://geometrygame.io/,My website,2,22,true,false,false,true,false,false,false,false,2025-06-29,2025-09-27,false,false
43,Cele|bitchy | Zoe Kravitz destroyed Taylor Swift’s bathroom while looking for her mom’s pet snake,https://www.celebitchy.com/936122/zoe_kravitz_destroyed_taylor_swifts_bathroom_while_looking_for_her_moms_pet_snake/,https://geometrygame.io/,geometry game,31,57,true,false,true,true,false,false,false,false,2025-10-03,2025-11-07,false,false
36,Louis Dreyfus announces $500 million soy plant coming to Upper Sandusky – Ohio Ag Net | Ohio's Country Journal,https://ocj.com/2023/10/dreyfus-announces-500-million-soy-plant-in-upper-sandusky/,https://geometrygame.io/,geometry dash,9,76,true,false,true,true,false,false,false,false,2025-05-01,2025-10-30,false,false
29,R-454b heat pump - GreenBuildingAdvisor,https://www.greenbuildingadvisor.com/question/r-454b-heat-pump,https://geometrygame.io/,geometry dash,11,68,true,false,true,true,false,false,false,false,2025-07-07,2025-07-07,false,false
27,villumsenharrington03 | Cake,https://www.cake.me/me/villumsenharrington03,https://geometrygame.io/,https://geometry-dash.io/,9,89,true,false,false,true,false,false,false,false,2025-04-03,2025-11-05,false,false
26,7 Most Popular Storyline 360 Examples & Downloads of 2023 | Articulate - Community,https://community.articulate.com/blog/articles/7-most-popular-storyline-360-examples--downloads-of-2023/1127444,https://geometrygame.io/,https://geometrygame.io/,8,75,true,false,false,true,false,false,false,false,2025-04-13,2025-11-07,false,false
26,NIGHTMODE Steps Into the Underground With Conceptual 8-Track Compilation 'WAREHOUSE',https://themusicessentials.com/music/nightmode-warehouse/,https://geometrygame.io/,geometry dash,12,72,true,false,true,true,false,false,false,false,2025-06-11,2025-06-11,false,false
26,Sézane Pieces For Early Summer | The New England Guide,https://theneguide.com/sezane-clothing-pieces-for-summer/,https://geometrygame.io/,geometry dash,34,120,true,false,true,true,false,false,false,false,2025-04-10,2025-11-06,false,false
24,About emilybrad - Microsoft Fabric Community,https://community.fabric.microsoft.com/t5/user/viewprofilepage/user-id/770887,https://geometrygame.io/,https://geometrygame.io/,11,131,true,false,false,true,false,false,false,false,2025-03-26,2025-08-29,false,false
23,Tidal+Wave - de búsqueda,https://cl.search.yahoo.com/mobile/s?ei=UTF-8&norw=1&p=Tidal%2BWave,https://geometrygame.io/geometry-dash-tidal-wave,geometrygame.io › geometry-dash-tidal-wave Geometry Dash Tidal Wave,7,55,false,false,false,true,false,false,false,false,2025-10-20,2025-10-20,true,false
21,KXXO - Search Images,https://4.bing.com/images/search?q=KXXO&qft,https://geometrygame.io/koxoio,geometry-dash.io,36,224,false,false,false,true,false,false,false,false,2025-11-06,2025-11-06,true,false
21,Boutique Hotels In Bangkok | MMH In Asia Master Class in Bangkok,https://blogs.cornell.edu/cornellmasterclassinbangkok/2012/02/26/boutique-hotels-in-bangkok-2/comment-page-1/,https://geometrygame.io/,geometry dash,35,79,true,false,true,true,false,false,false,false,2025-05-10,2025-05-10,false,false
21,"3D Image Gallery, Compositing Image Gallery, Animated Shorts Gallery, High end comput",https://ec2-34-231-130-161.compute-1.amazonaws.com/gallery/heian-jpg,https://geometrygame.io/,geometry dash,37,27,false,false,false,true,false,false,false,false,2025-06-04,2025-09-30,false,false
21,"Not Really a New Paradigm for Polling · Issue 5.3, Summer 2023",https://hdsr.mitpress.mit.edu/pub/s1ssx14k/release/1,https://geometrygame.io/,geometry dash,18,40,false,false,false,true,false,false,false,false,2025-05-03,2025-10-24,false,false
20,Decoding Love: How To Make Modern Dating Feel Less Complicated,https://lovestrategies.com/decoding-love-how-to-make-modern-dating-feel-less-complicated/,https://geometrygame.io/,geometry dash,62,62,true,false,true,true,false,false,false,false,2025-03-22,2025-11-08,false,false
20,Essential Agrarian Histories for Essential Agrarian Futures · Essential Labor,https://saw.americananthro.org/pub/essential-agrarian-histories/release/1,https://geometrygame.io/,geometry dash,759,23,false,false,false,true,false,false,false,false,2025-06-17,2025-08-07,false,false
20,وکیل رای مثبت - Terminklick,https://terminklick.stuve.fau.de/poll/JAPLpvECYh/,https://geometrygame.io/,geometry dash,186,15,false,false,false,true,false,false,false,false,2025-03-28,2025-09-05,false,false
20,Diablo IV - Gameplay Launch Trailer - News - DiabloFans,https://www.diablofans.com/news/50618-diablo-iv-gameplay-launch-trailer,https://geometrygame.io/,geometry dash,54,86,true,false,false,true,false,false,false,false,2025-04-30,2025-11-07,false,false
19,New App @ Windy Community,https://community.windy.com/topic/27354/new-app,https://geometrygame.io/,geometry dash,3,50,false,false,false,true,false,false,false,false,2025-05-15,2025-10-18,false,false
19,How Old Am I - #1043043 - dio,https://dio.onedio.com/baslik/how-old-am-i-1043043,https://geometrygame.io/,geometry dash,3,12,false,false,true,true,false,false,false,false,2025-04-08,2025-05-11,false,false
19,Comments - Managing the cringe - by Ryan Broderick,https://garbageday.substack.com/p/managing-the-cringe/comments,https://geometrygame.io/,https://geometry-dash.io/,3,47,true,false,true,true,false,false,false,false,2025-04-06,2025-11-03,false,false
