Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
53,"3D Image Gallery, Compositing Image Gallery, Animated Shorts Gallery, High end comput",https://www.highend3d.com/gallery/exceed-reality-inter-497,https://mergefellasgame.com/,Italian Brainrot Merge,23,101,false,false,false,true,false,false,false,false,2025-06-14,2025-11-07,false,false
53,The Great American Total Solar Eclipse – Experience Slooh’s Live Coverage from the LBJ Ranch,https://www.slooh.com/post/total-solar-eclipse-april-2024,https://mergefellasgame.com/,merge fellas,19,49,false,false,false,true,false,false,false,false,2025-08-26,2025-08-26,false,false
50,Bad Time Simulator | Sans Fight Challenge from Undertale,https://bad-time-simulator.com/,https://mergefellasgame.com/,Merge Fellas,4,80,false,false,false,true,false,false,false,true,2025-05-24,2025-10-27,false,false
46,"3D Image Gallery, Compositing Image Gallery, Animated Shorts Gallery, High end comput",https://ec2-34-231-130-161.compute-1.amazonaws.com/gallery/exceed-reality-inter-497,https://mergefellasgame.com/,Italian Brainrot Merge,73,52,false,false,false,true,false,false,false,false,2025-07-14,2025-10-26,false,false
44,Modern Sunday Sauce,https://www.notanothercookingshow.tv/post/sunday-sauce,https://mergefellasgame.com/,Merge Fellas,20,55,false,false,false,true,false,false,false,false,2025-07-26,2025-07-26,false,false
36,Payment gateway - abitur-und-studium.de,https://www.abitur-und-studium.de/Forum/Abitur-2022/Payment-gateway,https://mergefellasgame.com/,https://mergefellasgame.com/,22,41,true,false,false,true,false,false,false,false,2025-07-19,2025-11-02,false,false
36,First Day Of Fall | Alterations Needed,https://www.alterationsneeded.com/2020/09/first-day-of-fall.html,https://mergefellasgame.com/,,45,56,true,false,false,false,false,false,true,false,2025-06-09,2025-11-05,false,false
32,Framtidsdrömmar | Michael Gill Nöjesguiden,https://blogg.ng.se/michael-gill/2014/01/framtidsdrommar,https://mergefellasgame.com/ssspicy,ssspicy,1817,3090,true,false,false,true,false,false,false,false,2025-06-21,2025-11-06,false,false
30,"The best city cars - driven, rated and ranked | Autocar",https://www.autocar.co.uk/car-news/best-cars/top-10-best-city-cars,https://mergefellasgame.com/games,Italian Brainrot Meme games,69,110,false,false,false,true,false,false,false,false,2025-06-09,2025-07-10,false,false
30,Frog Security Blanket Free Crochet Pattern By Elisa's Crochet,https://www.elisascrochet.com/post/frog-security-blanket-free-crochet-pattern,https://mergefellasgame.com/,Merge Fellas Italian Brainrot,25,30,false,false,false,true,false,false,false,false,2025-06-15,2025-06-22,false,false
24,Karl+Friesen - Yahoo Suchergebnisse,https://at.search.yahoo.com/mobile/s?_intl=at&_lang=de&age&btf&ei=UTF-8&fr2=showall&p=Karl%2BFriesen,https://mergefellasgame.com/merge-fellas-original,mergefellasgame.com › merge-fellas-original Merge Fellas Original | Play Online for Free,12,39,false,false,false,true,false,false,false,false,2025-08-02,2025-08-02,false,false
22,"Reviews of ""Prediction of deterioration from COVID-19 in patients in skilled nursing facilities using wearable and contact-free devices: a feasibility study"" · Rapid Reviews Infectious Diseases",https://rrid.mitpress.mit.edu/pub/4xlnuci8/release/1,https://mergefellasgame.com/,Merge Fellas Italian Brainrot’s,169,23,false,false,false,true,false,false,false,false,2025-06-22,2025-11-08,false,false
20,Canestrelli e Ferri di cavallo - favole di farina %,https://blog.giallozafferano.it/favoledifarina/canestrelli-e-ferri-di-cavallo/,https://mergefellasgame.com/,brainrotmerge,142,212,true,false,true,true,false,false,false,false,2025-08-06,2025-08-06,false,false
19,Comments - A guide to switch your blog to Substack and grow a business,https://on.substack.com/p/switch-blog/comments,https://mergefellasgame.com/,https://mergefellasgame.com/,178,57,true,false,true,true,false,false,false,false,2025-07-29,2025-11-09,false,false
18,My Most Precious Book | Noel George – The People of NYC,https://eportfolios.macaulay.cuny.edu/lutton17/2017/02/20/my-most-precious-book-noel-george/comment-page-2/,https://mergefellasgame.com/brainrot-merge-combo-mania,Brainrot-Merge-Combo-Mania,72,82,true,false,true,true,false,false,false,false,2025-06-14,2025-10-20,false,false
17,I enhanced Merge Fellas Italian Brainrot with modern web optimizations using Phaser 3 - DEV Community,https://dev.to/leo_lumis/i-enhanced-merge-fellas-italian-brainrot-with-modern-web-optimizations-using-phaser-3-4njf,https://mergefellasgame.com/,the popular Merge Fellas Italian Brainrot game,51,44,false,false,false,true,false,false,false,false,2025-06-20,2025-10-29,false,false
17,Genshin Impact Font - Dafont Free,https://www.dafontfree.io/genshin-impact-font/,https://mergefellasgame.com/merge-fellas-original,merge rot,34,128,true,false,false,true,false,false,false,false,2025-06-12,2025-11-08,false,false
15,No place for Hobbits | ACM Interactions,https://interactions.acm.org/blog/view/no-place-for-hobbits,https://mergefellasgame.com/,Merge Fellas,8,56,false,false,false,true,false,false,false,false,2025-07-21,2025-11-11,false,false
14,Suspended Cymbal | MuseScore,https://musescore.org/es/node/370807,https://mergefellasgame.com/,merge fellas game,26,60,false,false,false,true,false,false,false,false,2025-07-28,2025-11-08,false,false
