Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
78,Hand Painted Easter Eggs,https://www.craftberrybush.com/2025/04/hand-painted-easter-eggs-3.html,https://pipsgamenyt.org/,Pips game,185,308,true,false,false,true,false,false,false,false,2025-10-22,2025-11-09,true,false
45,20 Best Quick Paleo Dinners for Weeknights - The Paleo Running Momma,https://www.paleorunningmomma.com/20-best-quick-paleo-dinners-weeknights/,https://pipsgamenyt.org/,Pips game,45,133,true,false,false,true,false,false,false,false,2025-10-19,2025-10-25,true,false
41,Team Knit 2025 | Yarn Harlot,https://www.yarnharlot.ca/2025/06/team-knit-2025/,https://pipsgamenyt.org/,Pips game,84,368,true,false,true,true,false,false,false,false,2025-10-23,2025-11-06,true,false
23,Education Blog-Why There Should Be Sports Education In A School?,https://www.studyguideindia.com/blogs/Why-there-should-be-sports-education-in-a-school-.html,https://pipsgamenyt.org/,Pips game,338,339,true,false,false,true,false,false,false,false,2025-10-19,2025-11-06,true,false
21,"Reviews of ""A Weaponized Phage Suppresses Competitors in Historical and Modern Metapopulations of Pathogenic Bacterial"" · Rapid Reviews Infectious Diseases",https://rrid.mitpress.mit.edu/pub/5cneycwu/release/1,https://pipsgamenyt.org/,Pips game,71,21,false,false,false,true,false,false,false,false,2025-10-29,2025-11-08,true,false
20,Blog de Luis Mochán,http://em.fis.unam.mx/blog/mochan/varios/20150119taller.writeback,https://pipsgamenyt.org/,Pips game,206,15,false,false,false,true,false,false,false,false,2025-10-21,2025-11-08,true,false
20,The power of professional guilds at Wix | Wix Career Blog,https://careers.wix.com/post/growing-into-your-best-self-the-power-of-professional-guilds-at-wix,https://pipsgamenyt.org/,Pips game,21,40,false,false,false,true,false,false,false,false,2025-10-17,2025-11-05,true,false
19,,https://www.producthunt.com/r/STW6WM6ZUKWR7B,https://pipsgamenyt.org/,,0,0,false,false,false,true,false,false,false,false,2025-10-09,2025-10-09,false,false
18,My Most Precious Book | Noel George – The People of NYC,https://eportfolios.macaulay.cuny.edu/lutton17/2017/02/20/my-most-precious-book-noel-george/,https://pipsgamenyt.org/,Pips game,39,58,true,false,true,true,false,false,false,false,2025-10-08,2025-10-20,false,false
17,"Media Insider: Facebook Tests Writer Partnerships, Venture Resurrects Anti-Slavery Magazine | Beyond Bylines",http://mediablogstage.prnewswire.com/2021/03/19/media-insider-facebook-tests-writer-partnerships-venture-resurrects-anti-slavery-magazine/,https://pipsgamenyt.org/,Pips game,521,903,true,false,true,true,false,false,false,false,2025-09-25,2025-11-09,false,false
17,Using Canvas in the WIC Classroom « Teaching With Writing: The WIC Newsletter,https://blogs.oregonstate.edu/wicnews/2015/05/29/using-canvas-in-the-wic-classroom/,https://pipsgamenyt.org/,Pips game,66,116,true,false,true,true,false,false,false,false,2025-10-21,2025-11-01,true,false
17,I enhanced Merge Fellas Italian Brainrot with modern web optimizations using Phaser 3 - DEV Community,https://dev.to/leo_lumis/i-enhanced-merge-fellas-italian-brainrot-with-modern-web-optimizations-using-phaser-3-4njf,https://pipsgamenyt.org/,Pips game,51,44,true,false,false,true,false,false,false,false,2025-10-28,2025-10-29,true,false
17,Community Partner Reflects on Shaw Center - Shaw Center – Syracuse University,https://shawcenter.syr.edu/video-principal-barber-reflects-on-his-shaw-center-partnership/,https://pipsgamenyt.org/,Pips game,7997,61,true,false,true,true,false,false,false,false,2025-10-21,2025-11-10,true,false
17,No-Bake Orange Cookies - The Nerd's Wife,https://thenerdswife.com/no-bake-orange-cookies.html,https://pipsgamenyt.org/,Pips game,85,164,true,false,false,true,false,false,false,false,2025-10-23,2025-11-10,true,false
16,Mathematik » Seite 5 » Tagebücher der Wissenschaft,https://scilogs.spektrum.de/network-tax/category/mathematik/page/5/,https://pipsgamenyt.org/,Pips game,8,135,true,false,true,true,false,false,false,false,2025-09-24,2025-09-24,false,false
16,Adding Pictures,https://sites.gsu.edu/nramirez5/2016/02/08/adding-pictures/,https://pipsgamenyt.org/,Pips game,27,100,true,false,true,true,false,false,false,false,2025-09-22,2025-09-22,false,false
16,"1 libro + 1 clase, 2 razones | Leyendo a Castilla y León",https://www.educa.jcyl.es/blogs/en/leyendo/1-libro-1-clase-2-razones,https://pipsgamenyt.org/,Pips game This link opens in a popup window,1127,213,false,false,false,false,false,false,true,false,2025-10-28,2025-10-28,true,false
14,Let's celebrate - College of Health and Human Sciences,https://chhs.news.niu.edu/2024/12/10/rehabilitation-counseling-program-celebrates-50-years-of-empowerment-2/,https://pipsgamenyt.org/,Pips game,84,93,true,false,true,true,false,false,false,false,2025-10-26,2025-10-26,true,false
14,Diggers Directory: Tilly by Stamp The Wax | Mixcloud,https://www.mixcloud.com/stampthewax/diggers-directory-tilly/,https://pipsgamenyt.org/,https://pipsgamenyt.org,14,85,true,false,false,true,false,false,false,false,2025-11-03,2025-11-03,true,false
14,August Council Meeting Minutes Available | Society of American Archivists,https://www2.archivists.org/news/2019/august-council-meeting-minutes-available,https://pipsgamenyt.org/,Pips Game,77,283,false,false,false,true,false,false,false,false,2025-10-23,2025-11-04,true,false
13,Saltimbocca - cucinare semplicemente,https://blog.cookaround.com/lacucinailmioregno/saltimbocca/,https://pipsgamenyt.org/,Pips game,121,271,true,false,true,true,false,false,false,false,2025-10-22,2025-10-22,true,false
13,[How to Draw] Struggles of Studying the Human Skeleton – The Anatomy of Art and Game Development,https://blogs.uww.edu/artofmakai/2021/02/22/struggles-of-studying-the-human-skeleton/,https://pipsgamenyt.org/,Pips game,84,150,true,false,true,true,false,false,false,false,2025-10-24,2025-10-24,true,false
13,Game Changer in der Inline-Fertigung |,https://blogs.zeiss.com/news/messtechnik-de/game-changer-in-der-inline-fertigung/,https://pipsgamenyt.org/,Pips game,131,178,true,false,true,true,false,false,false,false,2025-10-28,2025-11-09,true,false
13,Williams College Gospel Choir…Before Our Time | When We Praise: Performing Gospel at Williams,https://sites.williams.edu/srd4/research-project/williams-college-gospel-choir-before-our-time/,https://pipsgamenyt.org/,https://pipsgamenyt.org,128,139,true,false,true,true,false,false,false,false,2025-10-29,2025-10-29,true,false
12,Sally Mann | Nostalgia,http://blogs.evergreen.edu/morisa24/sally-mann/,https://pipsgamenyt.org/,Pips game,157,271,true,false,false,true,false,false,false,false,2025-11-01,2025-11-08,true,false
12,Bug: Comment Sorting – Share your feedback on Acrobat DC,https://acrobat.uservoice.com/forums/590923-acrobat-for-windows-and-mac/suggestions/48677351-bug-comment-sorting,https://pipsgamenyt.org/,https://pipsgamenyt.org,24,100,true,false,true,true,false,false,false,false,2025-09-25,2025-11-04,false,false
12,Live updates COVID-19European cities respond to the coronavirus crisisLjubljana – Free facilities for quarantineEUROCITIES,https://covidnews.eurocities.eu/2020/04/02/ljubljana-free-facilities-for-quarantine/,https://pipsgamenyt.org/,Pips game,21,88,true,false,true,true,false,false,false,false,2025-11-02,2025-11-08,true,false
12,"Création d'une AMAP à l'UPEC - Propositions Officielles - L'alimentation, un enjeu de délibération collective - Convention citoyenne étudiante de l'université Paris-Est Créteil",https://decidim.u-pec.fr/processes/CCE-21/f/25/proposals/200,https://pipsgamenyt.org/,https://pipsgamenyt.org,52,99,true,false,true,true,false,false,false,false,2025-10-31,2025-11-10,true,false
12,The Guide is here! Understanding the Autistic Mind 1 » NeuroClastic,https://neuroclastic.com/guide/,https://pipsgamenyt.org/,Pips game,34,180,true,false,true,true,false,false,false,false,2025-11-01,2025-11-01,true,false
11,FHIR in Healthcare,http://park8.wakwak.com/~w22/cgi-bin/best/read.cgi?no=2481,https://pipsgamenyt.org/,https://pipsgamenyt.org,11,13,false,false,false,true,false,false,false,false,2025-11-06,2025-11-06,true,false
11,"PET FOOD TECH DAY - 04 - Kibbles, Healthiness and Palatability - Marina Sgarbossa - GEA webinars",http://webinar.gea.com/pet-food-tech-day-04-kibbles,https://pipsgamenyt.org/,https://pipsgamenyt.org,102,142,false,false,false,true,false,false,false,false,2025-09-23,2025-11-02,false,false
11,14 Gorgeous Images From The 2024 Milky Way Photographer Of The Year | DeMilked,https://www.demilked.com/stunning-photos-milky-way-photographer-of-the-year/,https://pipsgamenyt.org/,Pips game,17,97,true,false,true,true,false,false,false,false,2025-10-31,2025-11-07,true,false
11,Víctor Manuelle en el Auditorio Nacional – Tropicalísima 660,https://www.imer.mx/tropicalisima/victor-manuelle-en-el-auditorio-nacional/,https://pipsgamenyt.org/,,27,69,true,false,false,true,false,false,false,false,2025-11-05,2025-11-05,true,false
10,Chaya Grossberg – Nutritional and Creative Alternatives to Psych Meds,https://chayagrossberg.com/,https://pipsgamenyt.org/,Pips game,760,1286,true,false,true,true,false,false,false,false,2025-11-03,2025-11-08,true,false
10,"French Employment law - Moral harassment - proof of moral harassment of an employee by clandestine recording: it is possible! (cass. soc. 10th of July 2024, n° 23-14.900) | par Me Frédéric CHHUM",https://consultation.avocat.fr/blog/frederic-chhum/article-2968638-french-employment-law-moral-harassment-proof-of-moral-harassment-of-an-employee-by-clandestine-recording-it-is-possible-cass.-soc.-10th-of-july-2024-n-23-14.900.html,https://pipsgamenyt.org/,https://pipsgamenyt.org,19,160,false,false,false,true,false,false,false,false,2025-11-06,2025-11-06,true,false
10,No Mans Sky Save Editor – No Mans Sky Mods,https://videogamemods.com/nomanssky/mods/no-mans-sky-save-editor/,https://pipsgamenyt.org/,Pips game,31,75,true,false,true,true,false,false,false,false,2025-10-03,2025-11-06,false,false
