Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
51,Who Speaks For You? | Philosophy Talk,https://www.philosophytalk.org/shows/who-speaks-you,https://pizzatowergame.io/,pizza tower,289,40,false,false,false,true,false,false,false,false,2024-11-18,2025-06-26,false,false
44,Blog | ACM Interactions,https://interactions.acm.org/blog/view/hci-and-interaction-design-versus-covid,https://pizzatowergame.io/,pizza tower,1153,1159,false,false,false,true,false,false,false,false,2025-05-17,2025-11-09,false,false
31,Fit Foodie Cooking Club: May 2024,https://fitfoodiefinds.com/fit-foodie-cooking-club-may-2024/,https://pizzatowergame.io/,pizza tower,13,134,true,false,true,true,false,false,false,false,2024-10-19,2025-10-25,false,false
24,About corddefinitive - Microsoft Fabric Community,https://community.fabric.microsoft.com/t5/user/viewprofilepage/user-id/788757,https://pizzatowergame.io/,https://pizzatowergame.io,13,131,true,false,false,true,false,false,false,false,2025-04-02,2025-09-05,false,false
23,Aaron+Curry - Yahoo Suchergebnisse,https://ch.search.yahoo.com/mobile/s?_tsrc=apple&b=15&ei=UTF-8&p=Aaron%2BCurry&pz=7&xargs=0,https://pizzatowergame.io/,pizzatowergame.io Pizza Tower,10,29,false,false,false,true,false,false,false,false,2025-11-01,2025-11-01,true,false
21,fmovies+24.2 - Bing,http://rewards.bing.com/search?FORM=R5FD&q=fmovies%2B24.2,https://pizzatowergame.io/,pizzatowergame.io https:// pizzatower game.io,28,24,false,false,false,true,false,false,false,false,2025-10-24,2025-10-24,true,false
20,Lockit QA | Video Games Localization and QA Service Provider,https://www.lockitqa.com/,https://pizzatowergame.io/,"The cover of the video-game ""Pizza Tower""",33,7,false,false,false,false,false,false,true,false,2025-03-02,2025-09-25,false,false
19,Understanding Wind Patterns for Sailing: Any Tips? @ Windy Community,https://community.windy.com/topic/36913/understanding-wind-patterns-for-sailing-any-tips,https://pizzatowergame.io/,pizza tower,4,36,false,false,false,true,false,false,false,false,2025-06-20,2025-10-17,false,false
19,Paraf RingPay ile Alışverişlerde Temassız Ödeme Yapın - #1933622 - dio,https://dio.onedio.com/dio/1933622?t=dio,https://pizzatowergame.io/,pizza tower,3,12,false,false,true,true,false,false,false,false,2025-05-11,2025-05-11,false,false
18,Article writing examples | Education,https://vocal.media/education/article-writing-examples,https://pizzatowergame.io/,https://pizzatowergame.io/,12,39,true,false,false,true,false,false,false,false,2025-02-22,2025-10-22,false,false
17,Adam Lopez vs Giovannie Gonzalez - BoxRec,https://boxrec.com/forum/viewtopic.php?t=260813,https://pizzatowergame.io/,pizza tower,3,26,false,false,false,true,false,false,false,false,2025-05-19,2025-09-30,false,false
17,"Media Insider: Tegna Sells for $5.4B, Howard to Digitize Black Press Archive, Condé Nast Partners with TikTok | Beyond Bylines",https://mediablogstage.prnewswire.com/2022/02/25/media-news-recap-022522/,https://pizzatowergame.io/,pizza tower,73,136,true,false,true,true,false,false,false,false,2025-03-08,2025-11-11,false,false
17,Anarchists in Rojava: Revolution is a struggle in itself - Anarkismo,https://www.anarkismo.net/article/32832,https://pizzatowergame.io/,pizza tower,59,172,false,false,false,true,false,false,false,false,2025-05-13,2025-09-27,false,false
16,Comentarios de lectores/as,http://genetica2019.sld.cu/index.php/genetica/2019/comment/view/116/0,https://pizzatowergame.io/,,84,103,false,false,false,true,false,false,false,false,2024-12-13,2025-10-30,false,false
16,tunicdunlin | Reolink Community,https://community.reolink.com/user/tunicdunlin,https://pizzatowergame.io/,pizza tower,7,41,false,false,false,true,false,false,false,false,2024-11-22,2025-11-04,false,false
15,"Pull Up, Rockin' - Bulletin Board Nonsense",https://belarius.neocities.org/bulletin-board-nonsense/post/pull-up-rockin/,https://pizzatowergame.io/,Pizza Tower,10,11,false,false,false,true,false,false,false,false,2025-05-15,2025-10-24,false,false
14,출발선을 찾기까지 (2023 회고록),https://velog.io/@baeian/finding-the-starting-line,https://pizzatowergame.io/,pizza tower,3,24,false,false,false,true,false,false,false,false,2025-04-06,2025-08-15,false,false
14,Draft Open for Comment | Society of American Archivists,https://www2.archivists.org/groups/saa-acrlrbms-joint-task-force-on-public-services-metrics/draft-open-for-comment,https://pizzatowergame.io/,pizza tower,21,260,false,false,false,true,false,false,false,false,2025-04-28,2025-10-22,false,false
13,Biscotti morbidi arancia e mandorle - Blog di Semplicementedolci di Simo,https://blog.cookaround.com/semplicementedolcidisimo/ricetta-biscotti-morbidi-arancia-e-mandorle/,https://pizzatowergame.io/,pizza tower,29,50,true,false,true,true,false,false,false,false,2025-05-16,2025-10-22,false,false
13,OnVaSortir! Bordeaux - Les Membres - Recherche - Wingapathetic,https://bordeaux.onvasortir.com/profil_read.php?Wingapathetic,https://pizzatowergame.io/,pizza tower,1,71,false,false,false,true,false,false,false,false,2024-12-25,2025-10-30,false,false
13,Custom fields names on customObjects can be used for the query but response keys are the standard fieldname - Bullhorn API Support Forums,https://supportforums.bullhorn.com/viewtopic.php?t=35478,https://pizzatowergame.io/,pizza tower,7,37,false,false,false,true,false,false,false,false,2025-04-11,2025-09-01,false,false
13,Didáctica de la Química: Need Advice on Curriculum Changes for 2022,https://www.fbioyf.unr.edu.ar/evirtual/mod/forum/discuss.php?d=44076,https://pizzatowergame.io/%20,pizza tower,3,36,false,false,false,true,false,false,false,false,2025-07-28,2025-09-18,false,false
13,Seeking Manga with Realistic Yuri Relationships Involving Age Gaps - MangaUpdates,https://www.mangaupdates.com/topic/4ypa9gx/seeking-manga-with-realistic-yuri-relationships-involving-age-gaps,https://pizzatowergame.io/,[color=#F0F3F7]pizza tower[/color],1,35,false,false,false,true,false,false,false,false,2025-04-22,2025-11-07,false,false
13,【2024】SSD 固態硬碟採購：一次搞懂關鍵規格及介面、選容量也要夠耐用，15大SSD選購推薦 | T客邦,https://www.techbang.com/posts/115317-ssd-recommendation-guide,https://pizzatowergame.io/,pizza tower,18,165,false,false,false,true,false,false,false,false,2024-10-23,2025-06-25,false,false
13,"Keskustelu - Äänestys, miten saat lakon takia peruuntuneen matkan rahat ? | Aihe vapaa | Vauva",https://www.vauva.fi/keskustelu/5434883/aanestys-miten-saat-lakon-takia-peruuntuneen-matkan-rahat,https://pizzatowergame.io/,https://pizzatowergame.io/,12,65,false,false,false,true,false,false,false,false,2025-05-07,2025-06-30,false,false
12,Live updates COVID-19European cities respond to the coronavirus crisisRecovery – Mayors call for a new pact between the EU and citiesEUROCITIES,https://covidnews.eurocities.eu/2020/06/12/recovery-mayors-call-for-a-new-pact-between-the-eu-and-cities/,https://pizzatowergame.io/,pizza tower,22,89,true,false,true,true,false,false,false,false,2024-10-08,2025-11-05,false,false
12,Departamento de Difusión > La Academia > Eventos academia,https://difusion.cinvestav.mx/La-Academia/Eventos-academia/emodule/7075/eitem/6548,https://pizzatowergame.io/,pizza tower,22,57,false,false,false,true,false,false,false,false,2025-03-11,2025-11-02,false,false
12,"GatChat, Gatling Gun Discussion Forum: Re: (no subject)",https://members3.boardhost.com/gatchat/msg/1722929366.html,https://pizzatowergame.io/,pizza tower,2,10,false,false,false,true,false,false,false,false,2025-05-07,2025-05-07,false,false
11,Geogrid Suppliers,http://park8.wakwak.com/~w22/cgi-bin/best/read.cgi?no=2403,https://pizzatowergame.io/,https://pizzatowergame.io/,2,4,false,false,false,true,false,false,false,false,2024-12-23,2025-11-08,false,false
11,Foros - THEBIGBOSS1 - Universidad Autónoma de Coahuila,http://www.turing.cima.uadec.mx/cursos/claroline/phpbb/viewtopic.php?cidReq=THEBIGBOSS1&cidReset=true&topic=1566,https://pizzatowergame.io/,pizza tower,5,23,false,false,false,true,false,false,false,false,2024-08-25,2025-10-25,false,false
11,"Real Estate Photography Company | Kusko Photography Are you looking for a Real Estate Photography Company in Seattle? We work hard to provide you with appealing images and videos of your properties. With this, we assist property owners and investors in listing their properties in the best possible light. We detail every aspect of your property for your customers. What are you up to? Contact us right away! http://www.kuskorealestate.photography/ - Niadd",https://br.niadd.com/statuses/1059923.html,https://pizzatowergame.io/,https://pizzatowergame.io,13,65,false,false,false,true,false,false,false,false,2025-02-17,2025-09-21,false,false
11,Profiel - Feyenoord.supporters.nl,https://feyenoord.supporters.nl/profiel/59529/vivaciousclassic,https://pizzatowergame.io/,https://pizzatowergame.io/,1,71,false,false,false,true,false,false,false,false,2025-05-11,2025-10-25,false,false
11,quotedramatic Profile Beelink -,https://forum.bee-link.com/home.php?mod=space&uid=227743,https://pizzatowergame.io/,https://pizzatowergame.io/,4,20,false,false,false,true,false,false,false,false,2025-03-10,2025-05-01,false,false
