Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
54,Uklidnění bouřlivého miminka: Láskyplné strategie pro rodiče | Těhotenství.cz,https://www.tehotenstvi.cz/miminko/uklidneni-bourliveho-miminka-laskyplne-strategie-pro-rodice,https://solarsmash.co/,https://solarsmash.co,20,289,false,false,false,true,false,false,false,false,2024-11-27,2025-10-28,false,false
47,SonicGear: Sonic Shuttle and SonicPod speaker review,https://www.itblock.sg/post/sonicgear-sonicshuttle-and-sonicpod-speaker-review,https://solarsmash.co/,solar smash online,5,32,false,false,false,true,false,false,false,false,2025-07-14,2025-07-14,false,false
24,site:aayyy.com - Yahoo Search Results,https://az.search.yahoo.com/mobile/s?694729&ei=UTF-8&q=site%3Aaayyy.com,https://solarsmash.co/,solarsmash.co solarsmash.co Solar Smash,11,33,false,false,false,false,false,false,true,false,2025-09-30,2025-09-30,false,false
21,"Review 2: ""Safety and Immunogenicity of an Inactivated Recombinant Newcastle Disease Virus Vaccine Expressing SARS-CoV-2 Spike: A Randomised, Comparator-Controlled, Phase 2 Trial"" · Rapid Reviews Infectious Diseases",https://rrid.mitpress.mit.edu/pub/03l47ea3/release/1,https://solarsmash.co/,solar smash,27,18,false,false,false,true,false,false,false,false,2025-05-18,2025-11-06,false,false
19,"Crêpes di lenticchie, solo due ingredienti! - E' Quasi Magia in Cucina",https://blog.giallozafferano.it/quasimagia/ricetta-crepes-di-lenticchie-solo-due-ingredienti/,https://solarsmash.co/,solar smash,17,56,true,false,true,true,false,false,false,false,2025-02-10,2025-10-24,false,false
19,No display of heart beat in zones - Forerunner 55 Series - Running/Multisport - Garmin Forums,https://forums.garmin.com/sports-fitness/running-multisport/f/forerunner-55-series/382611/no-display-of-heart-beat-in-zones,https://solarsmash.co/,solar smash,1,27,false,false,false,true,false,false,false,false,2024-12-11,2025-10-30,false,false
19,¿Quién fue el mejor jugador de la convocatoria? - Selección Nacional de Colombia - Forum | Seite 1 | Transfermarkt,https://www.transfermarkt.de/-iquest-quien-fue-el-mejor-jugador-de-la-convocatoria-/thread/forum/769/thread_id/2,https://solarsmash.co/,solar smash,17,79,false,false,false,true,false,false,false,false,2024-12-31,2025-09-23,false,false
18,Mariana Adieb- Annotated Bibliography – The People of NYC,https://eportfolios.macaulay.cuny.edu/lutton17/2017/04/25/mariana-adieb-annotated-bibliography/comment-page-2/,https://solarsmash.co/,solar smash,80,82,true,false,true,true,false,false,false,false,2025-03-18,2025-10-22,false,false
18,What is sitemap.txt? - Terminklick,https://terminklick.stuve.fau.de/poll/G6hPT2JhbJ/,https://solarsmash.co/,solar smash,61,15,false,false,false,true,false,false,false,false,2025-04-05,2025-09-05,false,false
18,"Liverpool, Juventus & Co - Which clubs have spent the most on keepers in the 21st century? | Transfermarkt",https://www.transfermarkt.co.uk/liverpool-juventus-amp-co-which-clubs-have-spent-the-most-on-keepers-in-the-21st-century-/view/news/443031,https://solarsmash.co/,solar smash,12,125,false,false,false,true,false,false,false,false,2024-12-25,2025-11-02,false,false
17,[BR] Berücksichtigungsfähige Zeiten für Stufenfestsetzung ab welcher Stufe?,https://forum.oeffentlicher-dienst.info/index.php?topic=125069.0,https://solarsmash.co/,solar smash,4,40,false,false,false,true,false,false,false,false,2025-01-26,2025-10-23,false,false
17,"Media Insider: MSNBC Staffers Form Union, Drew Barrymore Launches Magazine, Univision To Add Streaming | Beyond Bylines",https://mediablogstage.prnewswire.com/2021/06/25/media-insider-msnbc-staffers-form-union-drew-barrymore-launches-magazine-univision-to-add-streaming/,https://solarsmash.co/,solar smash,76,148,false,false,true,true,false,false,false,false,2025-10-06,2025-11-06,false,false
16,"3D Image Gallery, Compositing Image Gallery, Animated Shorts Gallery, High end comput",https://ec2-34-231-130-161.compute-1.amazonaws.com/gallery/still-from-sony-bravia-motionflow-video,https://solarsmash.co/,solar smash,93,45,false,false,false,true,false,false,false,false,2025-05-22,2025-09-16,false,false
16,Raspberry Pi Setup and Optimization Support?? - Raspberry Pi Forums,https://forums.raspberrypi.com/viewtopic.php?t=383891,https://solarsmash.co/,https://solarsmash.co,11,160,false,false,false,true,false,false,false,false,2025-02-27,2025-09-11,false,false
16,"Musim Kemarau is Coming! Yuk, Terapkan Tips Menghadapi Cuaca Panas yang Melanda Indonesia - Radio Telekomunikasi Cipta UI",https://rtc.ui.ac.id/2024/08/21/musim-kemarau-is-coming-yuk-terapkan-tips-menghadapi-cuaca-panas-yang-melanda-indonesia/,https://solarsmash.co/,solar smash,740,1701,true,false,true,true,false,false,false,false,2025-03-07,2025-11-06,false,false
16,#BLUD-chapter-04 -Geoff's Spell,https://www.newgrounds.com/portal/view/952146,https://solarsmash.co/,https://solarsmash.co,6,67,false,false,false,true,false,false,false,false,2025-04-09,2025-07-26,false,false
16,"Benguérir : L’UM6P, première université en Afrique à déployer ChatGPT Edu",https://www.yabiladi.com/articles/details/155905/benguerir-l-um6p-premiere-universite-afrique.html,https://solarsmash.co/,solar smash,7,118,false,false,false,true,false,false,false,false,2025-01-01,2025-10-01,false,false
15,Moses Download Festival # Free Download # iVOLjejgcN — Bitbucket,https://bitbucket.org/snippets/seymourxyf1973q5/ngeBrE/,https://solarsmash.co/,solar smash online,7,9,true,false,false,true,false,false,false,false,2025-05-30,2025-05-30,false,false
15,We Are Grateful for Your Support,https://blogs.baylor.edu/buletterwinners/2017/11/17/we-are-grateful-for-your-support/,https://solarsmash.co/,solar smash,12,34,true,false,true,true,false,false,false,false,2025-04-16,2025-08-26,false,false
15,MacOS problems when I try install the xammp - Apache Friends Support Forum,https://community.apachefriends.org/f/viewtopic.php?t=84117,https://solarsmash.co/,solar smash,2,40,false,false,false,true,false,false,false,false,2025-01-21,2025-10-14,false,false
15,"Oh where, oh where, have the apostates gone? | Throne Forum",https://forum.plarium.com/en/throne-kingdom-at-war/598_general-questions/189953_oh-where--oh-where--have-the-apostates-gone-/,https://solarsmash.co/,solar smash,25,68,true,false,true,true,false,false,false,false,2025-03-25,2025-10-03,false,false
15,How to Submit and Vote on Ex Libris Idea Exchange? – Have an idea for Ex Libris?,https://ideas.exlibrisgroup.com/forums/308179-rosetta/suggestions/49617224-how-to-submit-and-vote-on-ex-libris-idea-exchange,https://solarsmash.co/,solar smash,2,50,false,false,false,true,false,false,false,false,2025-05-03,2025-05-03,false,false
15,Body/brain data/licenses | ACM Interactions,https://interactions.acm.org/blog/view/body-brain-data-licenses,https://solarsmash.co/,solar smash,15,55,false,false,false,true,false,false,false,false,2025-06-05,2025-11-11,false,false
15,Destroyer - Comments on the World as Will Lyrics & Meanings | SongMeanings,https://songmeanings.com/songs/view/3530822107858509128/,https://solarsmash.co/,https://solarsmash.co,14,59,true,false,false,true,false,false,false,false,2025-05-13,2025-11-10,false,false
15,So etwas hätte ich schon viel früher haben mü - Digitec,https://www.digitec.ch/de/productrating/so-etwas-haette-ich-schon-viel-frueher-haben-muessen-trotz-preis-bereue-ich-den-kauf-keinen-augenblick-136171,https://solarsmash.co/,https://solarsmash.co,17,101,false,false,true,true,false,false,false,false,2025-04-04,2025-09-26,false,false
14,Going to Podcast Movement Evolutions 2024? Let's Meet! - Podbean Blog,https://blog.podbean.com/podcast-movement-evolutions-2024/,https://solarsmash.co/,solar smash,19,88,true,false,true,true,false,false,false,false,2025-06-04,2025-11-08,false,false
14,Megan Nordstrom named Lincoln Laureate - College of Health and Human Sciences,https://chhs.news.niu.edu/2021/10/20/megan-nordstrom-named-lincoln-laureate/,https://solarsmash.co/,solar smash,8,40,false,false,false,true,false,false,false,false,2025-09-30,2025-10-29,false,false
14,Now Open: 2025 Blackbaud Community All-Star Nominations! - Blackbaud Community,https://community.blackbaud.com/blogs/61/9812,https://solarsmash.co/,solar smash,10,41,false,false,false,true,false,false,false,false,2025-03-13,2025-08-03,false,false
14,完全沒想到HTC論壇會復活！ - HTC論壇,https://community.htc.com/tw/chat.php?mod=viewthread&tid=106853,https://solarsmash.co/,solar smash,17,103,false,false,false,true,false,false,false,false,2025-10-01,2025-10-02,false,false
14,Glutenfreie Orangen-Mandel-Tarte - Puppenzimmer.com,https://puppenzimmer.com/2020/05/glutenfreie-orangen-mandel-tarte.html,https://solarsmash.co/,solar smash,75,155,true,false,true,true,false,false,false,false,2025-05-20,2025-11-04,false,false
14,FLO Micro - Future Facing Assessments OER 2023: Basketball Stars | SCoPE,https://scope.bccampus.ca/mod/forum/discuss.php?d=29222&parent=109390,https://solarsmash.co/,solar smash,5,30,false,false,false,true,false,false,false,false,2025-05-24,2025-10-27,false,false
14,VIDEO: Erica Kokoszka on Finding a Career in Community Engagement - Shaw Center – Syracuse University,https://shawcenter.syr.edu/video-erica-kokoszka-on-finding-a-career-in-community-engagement/,https://solarsmash.co/,solar smash,23,54,true,false,true,true,false,false,false,false,2025-09-27,2025-11-05,false,false
14,2021년 한국정치학회 World Congress 참가 안내,https://www.bk21pol.yonsei.ac.kr/post/bk-2021%EB%85%84-%ED%95%9C%EA%B5%AD%EC%A0%95%EC%B9%98%ED%95%99%ED%9A%8C-world-congress-%EC%B0%B8%EA%B0%80-%EC%8B%A0%EC%B2%AD-%EC%95%88%EB%82%B4,https://solarsmash.co/,solar smash,80,33,false,false,false,true,false,false,false,false,2025-06-08,2025-07-07,false,false
