Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
68,Geometry Dash,https://geometry-dashonline.com/,https://space-waves.co/,Space Waves,1,70,false,false,false,true,false,false,false,false,2025-08-16,2025-11-07,false,false
67,Geometry Dash,https://geometrydash-game.io/,https://space-waves.co/,Space Waves,1,92,false,false,false,true,false,false,false,false,2025-08-11,2025-11-02,false,false
66,Geometry Dash,https://geometrydash-3d.com/,https://space-waves.co/,Space Waves,1,49,false,false,false,true,false,false,false,false,2025-08-08,2025-10-28,false,false
65,Geometry Dash Meltdown,https://geometrydash-meltdown.co/,https://space-waves.co/,Space Waves,1,58,false,false,false,true,false,false,false,false,2025-09-07,2025-11-03,false,false
61,Geometry Dash,https://geometrydashx.io/,https://space-waves.co/,Space Waves,1,94,false,false,false,true,false,false,false,true,2025-09-04,2025-11-02,false,false
60,Geometry Dash,https://geometryfree.io/,https://space-waves.co/,Space Waves,1,75,false,false,false,true,false,false,false,true,2025-08-14,2025-11-11,false,false
58,Advantages of Print Promotional Media,https://library.unindra.ac.id/portfolio/yogboard/index.php?blogger_id=1&route=information%2Fblogger,https://space-waves.co/,Space Waves,443,77,false,false,false,true,false,false,false,false,2025-07-28,2025-10-31,false,false
57,Writing Wednesdays: “Help! I Can’t Find My Title!”,https://stevenpressfield.com/2016/05/help-i-cant-find-my-title/,https://space-waves.co/,space waves,25,17,true,false,true,true,false,false,false,false,2025-01-28,2025-10-25,false,false
53,Ivančna Gorica eMesto,https://ivancnagorica.emesto.si/,https://space-waves.co/,Space Waves,95,21,true,false,false,true,false,false,false,false,2025-06-18,2025-06-18,false,false
48,Informe sobre números 118 y cómo mejorar la protección de los consumidores - CNMC Blog,https://blog.cnmc.es/2017/01/16/informe-sobre-numeros-118-y-como-mejorar-la-proteccion-de-los-consumidores/,http://space-waves.co/,Space Waves,17,125,true,false,true,true,false,false,false,false,2025-09-13,2025-10-04,false,false
47,Allevatori di Akita e cuccioli in Italia - it.DogWeb.com,https://www.it.dogweb.com/allevatori-di-akita-e-cuccioli-in-italia/,https://space-waves.co/,Space Waves,52,69,true,false,false,true,false,false,false,false,2025-09-23,2025-11-06,false,false
46,Weird Science DC Comics: GREEN LANTERN CORPS #9 Review,https://www.weirdsciencedccomics.com/2025/10/green-lantern-corps-9-review.html,https://space-waves.co/,Space Waves,59,698,true,false,false,true,false,false,false,false,2025-10-15,2025-11-06,true,false
44,"Community colleges loosen STEM math placement rules, calming some critics | EdSource",https://edsource.org/2024/community-colleges-loosen-stem-math-placement-rules-calming-some-critics/723729,https://space-waves.co/,,22,123,false,false,false,true,false,false,false,false,2025-11-05,2025-11-05,true,false
44,Blog | ACM Interactions,https://interactions.acm.org/blog/view/hci-and-interaction-design-versus-covid,https://space-waves.co/,Space Waves,1153,1159,false,false,false,true,false,false,false,false,2025-06-04,2025-11-09,false,false
42,Vidar: Lutador Incondicional | Sons Of Gods RPG,https://www.sonsofgodsrpg.com/f-rum/sugestoes-de-poderes/vidar-lutador-incondicional,https://space-waves.co/,Space Waves,8,47,false,false,false,true,false,false,false,false,2025-08-12,2025-08-12,false,false
41,Book Cover Trends thru Time (via DUNE) | Muddy Colors,https://www.muddycolors.com/2020/09/book-cover-trends-thru-time/,https://space-waves.co/,Space Waves,156,221,true,false,true,true,false,false,false,false,2025-07-26,2025-11-06,false,false
34,"Ramblin' with Roger - Roger Green: a librarian's life, deconstructed.",https://www.rogerogreen.com/,https://space-waves.co/,Space Waves,92,78,true,false,true,true,false,false,false,false,2025-10-19,2025-10-24,true,false
24,Dirtier+Deeds - de búsqueda,https://ar.search.yahoo.com/mobile/s?age=1w&btf=w&ei=UTF-8&fr2=time&p=Dirtier%2BDeeds,https://space-waves.co/space-waves-2,space-waves.co › space-waves-2 Space Waves 2,10,27,false,false,false,true,false,false,false,false,2025-10-13,2025-10-13,true,false
23,This Week for Dinner: Week 785 Weekly Dinner Menu - This Week for Dinner,https://thisweekfordinner.com/week-785-weekly-dinner-menu/,https://space-waves.co/,Space Waves,50,320,true,false,true,true,false,false,false,false,2025-03-21,2025-11-05,false,false
23,Власть стихий: ярость - Задание - World of Warcraft,https://www.wowhead.com/ru/quest=29330/%D0%B2%D0%BB%D0%B0%D1%81%D1%82%D1%8C-%D1%81%D1%82%D0%B8%D1%85%D0%B8%D0%B9-%D1%8F%D1%80%D0%BE%D1%81%D1%82%D1%8C,https://space-waves.co/,https://space-waves.co,4,28,true,false,false,true,false,false,false,false,2025-09-22,2025-09-28,false,false
22,Tomcat's Blog » Blog Archive » Mozilla@CeBIT und kostenlose Tickets!,https://blog.mozilla.org/tomcat/2011/03/01/mozillacebit-und-kostenlose-tickets/,https://space-waves.co/,Space Waves,26,37,true,false,true,true,false,false,false,false,2025-10-05,2025-10-05,false,false
21,wave+game - Bing,http://rewards.bing.com/search?FORM=QSRE14&q=wave%2Bgame,https://space-waves.co/wave,space-waves.co https://space- waves .co › wave,28,24,false,false,false,true,false,false,false,false,2025-10-20,2025-10-20,true,false
20,Blog de Luis Mochán,http://em.fis.unam.mx/blog/mochan/noticiasICF/semiarioInterno20100115.writeback,https://space-waves.co/,Space Waves,1,1,false,false,false,true,false,false,false,false,2025-08-24,2025-10-29,false,false
20,Ravioli ripieni di merluzzo ai pomodorini - favole di farina,https://blog.giallozafferano.it/favoledifarina/ravioli-ripieni-di-merluzzo-ai-pomodorini/,https://space-waves.co/,Space Waves,128,224,true,false,true,true,false,false,false,false,2025-04-22,2025-09-22,false,false
20,Design and Differences: Two Ranters Discuss. Part II - GardenRant,https://gardenrant.com/2025/06/design-and-differences-two-ranters-discuss-part-ii.html,https://space-waves.co/,Space Waves,23,89,true,false,true,true,false,false,false,false,2025-07-04,2025-11-09,false,false
19,Wall panelling with cable trunking | Screwfix Community Forum,https://community.screwfix.com/threads/wall-panelling-with-cable-trunking.281688/,https://space-waves.co/,Space Waves,5,54,true,false,true,true,false,false,false,false,2025-02-13,2025-08-09,false,false
19,that's me and my friends＠bns goldw er｜PChome Online 個人新聞台,https://mypaper.pchome.com.tw/asfsdgd/post/1325149882,http://space-waves.co/,http://space-waves.co,11,60,false,false,false,true,false,false,false,false,2025-09-20,2025-09-20,false,false
18,"""Error using parpool no space left on device"" -- even when there is enough space. - MATLAB Answers - MATLAB Central",https://au.mathworks.com/matlabcentral/answers/2172765-error-using-parpool-no-space-left-on-device-even-when-there-is-enough-space,https://space-waves.co/,Space Waves,5,109,true,false,false,true,false,false,false,false,2025-05-16,2025-10-21,false,false
18,The Amazing Physique Of A. Schwarzenegger & How He Developed It (1967 Article) - Physical Culture Study,https://physicalculturestudy.com/2017/02/22/the-amazing-physique-of-a-schwarzenegger-how-he-developed-it-1967-article/,https://space-waves.co/,space waves,38,138,true,false,true,true,false,false,false,false,2024-12-28,2025-10-25,false,false
