Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
73,Læsespil - Læseheltene - MentorDanmark,https://mentordanmark.videomarketingplatform.co/laesespil-laeseheltene,https://sprunky.gg/ko,스프런키,120,144,false,false,false,true,false,false,false,false,2025-08-13,2025-08-13,false,false
73,Zaštita od komaraca na prirodan način - najbolji zdravi repelenti | Galen Pharm On-line,https://www.apotekanet.rs/blog/zastita-od-komaraca-na-prirodan-nacin-najbolji-zdravi-repelenti,https://sprunky.gg/brainrot,https://sprunky.gg/brainrot,1203,382,false,false,false,true,false,false,false,false,2025-10-30,2025-11-08,true,false
73,Exit Strategy Game coming to Evans House? - Evans House BUSINESS CENTRE ​ 01925 411170,https://www.normanstreet.co.uk/blog/exit-strategy-game-coming-to-evans-house,https://sprunky.gg/ja,スプランキー,2798,33,true,false,false,true,false,false,false,false,2025-08-30,2025-11-07,false,false
71,The Wool Jackets Are Back,https://www.activeforall.co.in/blog/wool-jackets,https://sprunky.gg/ko,https://sprunky.gg/ko,3434,107,false,false,false,true,false,false,false,false,2025-08-31,2025-10-13,false,false
68,Welcome to Journal Blog,https://www.pixy.sk/blog/journal-blog,https://sprunky.gg/ja,https://sprunky.gg/ja,2206,56,false,false,false,true,false,false,false,false,2025-08-27,2025-11-09,false,false
62,テトリス｜テトリス風のゲーム全部無料で遊べる！,https://tetris-jp.com/,https://sprunky.gg/,sprunky,8,31,false,false,false,true,false,false,false,false,2025-09-12,2025-11-10,false,false
60,Budgeting and Saving Money - Faithful Provisions,https://faithfulprovisions.com/budgeting-saving-money/,https://sprunky.gg/es,Sprunki,26,92,true,false,false,true,false,false,false,false,2025-10-24,2025-11-08,true,false
60,🏈 FOOTBALL BROS 🎯 Play online for free Now!,https://footballbros.me/,https://sprunky.gg/brainrot,italian brainrot,7,38,false,false,false,false,false,false,true,false,2025-11-02,2025-11-02,true,false
58,Advantages of Print Promotional Media,https://library.unindra.ac.id/portfolio/yogboard/index.php?blogger_id=1&route=information%2Fblogger,https://sprunky.gg/brainrot,Brainrot,443,77,false,false,false,true,false,false,false,false,2025-10-31,2025-10-31,true,false
56,Onepiecedle - Daily One Piece Character Guessing Game,https://onepiecedle.fun/,https://sprunky.gg/,Sprunky Sprunky,6,16,false,false,false,false,false,false,true,false,2025-10-02,2025-10-09,false,false
56,"Hearty Paleo Banana Bread {GF, DF, No Added Sugar}",https://www.paleorunningmomma.com/paleo-banana-bread-no-sugar/,https://sprunky.gg/es,Sprunki,57,93,true,false,false,true,false,false,false,false,2025-10-25,2025-11-06,true,false
