"Title","Page URL","Game URL","Cover Image","Rating","Content Path","Meta Title","Meta Description","Categories","Tags"
"Friday Night Sprunki","https://geometrylite.io/friday-night-sprunki","https://html5.gamedistribution.com/ea32a1b7222c4d25a207564983ec6cdb/?gd_sdk_referrer_url=https://geometrylite.io/friday-night-sprunki","https://geometrylite.io/cache/data/image/game/friday-night-sprunki-m300x180.webp","6.7","content/friday-night-sprunki.md","Friday Night Sprunki - A Fresh & Colorful Rhythm Battle","Face the energetic Sprunki in a new FNF mod! Master unique songs and vibrant visuals in this free-to-play rhythm game. Test your skills and hit every note now!","Rhythm;Arcade","Music;Skill;Fast-Paced;Colorful;Fan-Made"
"Whopper Clicker","https://geometrylite.io/whopper-clicker","https://www.hoodamath.com/mobile/games/whopper-clicker/game.html?nocheckorient=1","https://geometrylite.io/cache/data/image/game/whopper-clicker-m300x180.webp","10","content/whopper-clicker.md","Whopper Clicker - Build Your Ultimate Burger Empire!","Click to make millions of Whoppers and grow your fast-food business! Unlock upgrades, automate production, and become a burger tycoon in Whopper Clicker today.","Clicker;Casual","Idle;One Button;Collect"
"Geometry: Perfect Wave","https://geometrylite.io/geometry-perfect-wave","https://yandex.com/games/app/404423?utm_source=distrib&is-united-page=1&skip-guard=1&header=no&utm_medium=geometrylite.io&clid=10575041&flags=%7B%22adv_sticky_banner_disabled%22%3Atrue%7D","https://geometrylite.io/cache/data/image/game/geometry-perfect-wave-m300x180.webp","8.6","content/geometry-perfect-wave.md","Geometry: Perfect Wave - Master the Intense Rhythm Wave","Ride the ultimate rhythm wave in Geometry: Perfect Wave! Test your reflexes in this intense one-button challenge with a killer soundtrack. Play now for free!","Geometry;Rhythm;Platform","Wave;Jumping;Fast-Paced;Skill;One Button;Obstacle;Music;Neon"
"Moto X3M Spooky Land","https://geometrylite.io/moto-x3m-spooky-land","https://html5.gamedistribution.com/b8a342904608470a9f3382337aca3558/?gd_sdk_referrer_url=https://geometrylite.io/moto-x3m-spooky-land","https://geometrylite.io/cache/data/image/moto-x3m-spooky-land-3-m300x180.webp","10","content/moto-x3m-spooky-land.md","Moto X3M Spooky Land - Play Free Stunt Bike Racing","Race through 22 Halloween-themed tracks in Moto X3M Spooky Land! Master insane stunts, dodge deadly traps, and beat the clock in this spooky bike game. Play now!","Driving;Sports;Action","Skill;Speed;Obstacle;3D;Horror"
"Squid Game Online","https://geometrylite.io/squid-game-online","https://archive777.com/Game-Files/Squid%20Game%20Final%20Version/","https://geometrylite.io/cache/data/image/game/squid-game-online-m300x180.webp","8.6","content/squid-game-online.md","Squid Game Online - Survive Deadly Multiplayer Challenges","Play Squid Game Online! Compete in Red Light, Green Light, Glass Bridge, and more against real players. Do you have what it takes to survive? Play now for free!","Action;Arcade","Multiplayer;Survival;Skill;Arena"
"Sprunki Retake","https://geometrylite.io/sprunki-retake","https://www.miniplay.com/embed/sprunki-retake","https://geometrylite.io/cache/data/image/game/sprunki-retake-m300x180.webp","10","content/sprunki-retake.md","Sprunki Retake - Create Your Own Eerie Music Mixes","Mix dark beats and cinematic sounds in Sprunki Retake, a fan-made music game. Drag and drop characters, unlock animated bonuses, and create your unique track today!","Rhythm;Casual","Music;Creative;Fan-Made;Colorful"
"Fireboy and Watergirl 5 Elements","https://geometrylite.io/fireboy-and-watergirl-5-elements","https://html5.gamedistribution.com/03f124074b0049f89fdace0cacf8ead5/?gd_sdk_referrer_url=https://geometrylite.io/fireboy-and-watergirl-5-elements","https://geometrylite.io/cache/data/image/fireboy-and-watergirl-5-elements-2-m300x180.webp","10","content/fireboy-and-watergirl-5-elements.md","Fireboy and Watergirl 5 Elements - Play Free Co-op Puzzles","Team up in Fireboy and Watergirl 5! Solve puzzles across 7 elemental temples with unique mechanics. Play this fun co-op platformer in your browser now!","Puzzle;Platform;Adventure","2 Player;Jumping;Collect;Skill"
"Golf Orbit","https://geometrylite.io/golf-orbit","https://html5.gamedistribution.com/02ff01e6e9f7451ba28d889a2a55eec9/?gd_sdk_referrer_url=https://geometrylite.io/golf-orbit","https://geometrylite.io/cache/data/image/golf-orbit-2-m300x180.webp","10","content/golf-orbit.md","Golf Orbit - Launch Your Golf Ball Into Space!","Play Golf Orbit and launch your ball to record-breaking distances! Upgrade your power, speed, and bounce to go from the green to the galaxy. Tee off now!","Sports;Casual","Skill;Collect;Space;Physics"
"Eggy Car","https://geometrylite.io/eggy-car","https://1games.io/game/eggy-car/","https://geometrylite.io/cache/data/image/game/eggy-car-m300x180.webp","10","content/eggy-car.md","Eggy Car - The Ultimate Physics-Based Driving Challenge","How far can you drive without breaking the egg? Master delicate controls and tricky physics in Eggy Car. Collect coins, unlock new cars, and set a new record!","Driving;Arcade","Physics;Skill;Collect;Car;Endless Runner"
"EvoWorld.io","https://geometrylite.io/evoworldio","https://html5.gamedistribution.com/b35768ea96e64e44b0c7de5d76bcd737/?gd_sdk_referrer_url=https://geometrylite.io/evoworldio","https://geometrylite.io/cache/data/image/evoworldio-1-m300x180.webp","10","content/evoworld-io.md","EvoWorld.io - Eat, Evolve, and Survive the Food Chain","Start as a fly and evolve into 45+ creatures in EvoWorld.io! Survive in a massive multiplayer world with unique abilities. Play now and conquer the food chain!","IO;Action","Multiplayer;Survival;Flying;Animal;Arena"
"Geometry Dash Bloodbath","https://geometrylite.io/geometry-dash-bloodbath","https://turbowarp.org/282675824/embed","https://geometrylite.io/cache/data/image/game/geometry-dash-bloodbath1-m300x180.webp","7.5","content/geometry-dash-bloodbath.md","Geometry Dash Bloodbath - Conquer the Legendary Extreme Demon","Face Geometry Dash's most iconic challenge. Master tight waves and brutal timings in Bloodbath, the legendary Extreme Demon level. Do you have the skill to survive?","Geometry;Rhythm;Platform","Jumping;Fast-Paced;Skill;One Button;Obstacle;Music;Wave;Extreme Demon;Demonlist;User Levels"
"Space Waves","https://geometrylite.io/space-waves","https://igroutka.ru/loader/game/51356/","https://geometrylite.io/cache/data/image/game/space-waves-m300x180.webp","8","content/space-waves.md","Space Waves - Master the Ultimate Rhythm-Wave Challenge","Jump into Space Waves, a fast-paced rhythm game inspired by Geometry Dash! Master one-button wave controls, dodge neon obstacles, and ride the beat. Play now!","Geometry;Rhythm;Platform","Wave;Jumping;Fast-Paced;Skill;One Button;Obstacle;Music;Neon;Space"
"Neon Swing","https://geometrylite.io/neon-swing",,"https://geometrylite.io/cache/data/image/game/neon-swing-m300x180.webp","10","content/neon-swing.md","Neon Swing - Master Addictive Physics-Based Swinging","Swing, bounce, and fly through a vibrant neon world in Neon Swing! Master one-touch controls to conquer tricky levels and outrun the wall. Play now!","Platform;Arcade","Physics;Skill;One Button;Neon;Colorful;Fast-Paced"
"Capybara Clicker","https://geometrylite.io/capybara-clicker","https://bitlifeonline.github.io/capybara-clicker/","https://geometrylite.io/cache/data/image/game/capybara-clicker-m300x180.webp","10","content/capybara-clicker.md","Capybara Clicker - Build Your Relaxing Capybara Empire","Click the world's chillest animal in Capybara Clicker! Earn coins, buy auto-click upgrades, and unlock fun skins. Play now for free in your browser or on mobile!","Clicker;Casual","Idle;One Button;Animal;Collect;Colorful"
